No Agenda,Tanggal,No. Bukti,Sumber Dana,Bank Tujuan,Kriteria CF,Penerima/dari,Uraian,Debet,Kredit,@,Edit Uraian,Revisi Nominal,Nilai Ajuan,Uraian Asli
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155502 - DEKAN ,  ,  , 81029155502|Pemby Wifi Afd Des25 i Afd Des25 MCM InhouseTrf CS-CS  KE WINARKO LISTIANTO ,,  1.500.000 ,,81029155502|Pemby Wifi Afd Des25 i Afd Des25 MCM InhouseTrf CS-CS  KE WINARKO LISTIANTO,1.500.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Biaya pembayaran PLN B01/009 bayaran PLN B01/009 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  4.535.962 ,,81029155522|Biaya pembayaran PLN B01/009 bayaran PLN B01/009 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  4.535.962 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Spare Part Mesin Bab B01/012 t Mesin Bab B01/012 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  435.000 ,,81029155522|Spare Part Mesin Bab B01/012 t Mesin Bab B01/012 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  435.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Spare Part Mesin Bab B01/011 t Mesin Bab B01/011 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  45.000 ,,81029155522|Spare Part Mesin Bab B01/011 t Mesin Bab B01/011 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  45.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Akomodasi STO        B01/016  STO        B01/016 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  1.000.000 ,,81029155522|Akomodasi STO        B01/016  STO        B01/016 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  1.000.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Akomodasi p3k        B01/015  p3k        B01/015 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  495.000 ,,81029155522|Akomodasi p3k        B01/015  p3k        B01/015 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  495.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Extravooding BKM     B01/014 ing BKM     B01/014 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  8.280.000 ,,81029155522|Extravooding BKM     B01/014 ing BKM     B01/014 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  8.280.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Biaya Konsumsi patri B01/013 sumsi patri B01/013 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  794.000 ,,81029155522|Biaya Konsumsi patri B01/013 sumsi patri B01/013 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  794.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Spanduk Lentina Bidu B01/006 entina Bidu B01/006 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  360.000 ,,81029155522|Spanduk Lentina Bidu B01/006 entina Bidu B01/006 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  360.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Spare Part Pak Patri B01/005 t Pak Patri B01/005 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  1.400.000 ,,81029155522|Spare Part Pak Patri B01/005 t Pak Patri B01/005 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  1.400.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Spare Part KKS       B01/003 t KKS       B01/003 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  860.000 ,,81029155522|Spare Part KKS       B01/003 t KKS       B01/003 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  860.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Konsumsi BBM Solar   B01/017 BBM Solar   B01/017 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  225.000 ,,81029155522|Konsumsi BBM Solar   B01/017 BBM Solar   B01/017 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  225.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|BBM Mesin Robin      B01/018  Robin      B01/018 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  611.000 ,,81029155522|BBM Mesin Robin      B01/018  Robin      B01/018 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  611.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|BBM Mesin Rumput     B01/019  Rumput     B01/019 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  1.690.000 ,,81029155522|BBM Mesin Rumput     B01/019  Rumput     B01/019 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  1.690.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|SPJ                  B01/020             B01/020 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN ,,  5.338.000 ,,81029155522|SPJ                  B01/020             B01/020 MCM InhouseTrf CS-CS  KE PATRIK TARIGAN,  5.338.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Quik Pak MANEJ       B01/004 Transfer Online P-CS  28301054801503/OI36000896376441PERKEBUNAN NUSANTARA ,,  10.444.072 ,,81029155522|Quik Pak MANEJ       B01/004 Transfer Online P-CS  28301054801503/OI36000896376441PERKEBUNAN NUSANTARA,  10.444.072 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Pengamanan ASET      B01/007 n ASET      B01/007 MCM InhouseTrf CS-CS  KE MARSELUS ,,  10.000.000 ,,81029155522|Pengamanan ASET      B01/007 n ASET      B01/007 MCM InhouseTrf CS-CS  KE MARSELUS,  10.000.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Limsek Kadus Semosok B01/010 dus Semosok B01/010 MCM InhouseTrf CS-CS  KE MARSELUS ,,  200.000 ,,81029155522|Limsek Kadus Semosok B01/010 dus Semosok B01/010 MCM InhouseTrf CS-CS  KE MARSELUS,  200.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155522 - NGABANG ,  ,  , 81029155522|Biaya Partisipasi PoB01/008/ Transfer Online P-CS  28301054801503/OI36000896382751PERKEBUNAN NUSANTARA ,,  2.000.000 ,,81029155522|Biaya Partisipasi PoB01/008/ Transfer Online P-CS  28301054801503/OI36000896382751PERKEBUNAN NUSANTARA,  2.000.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155533 - PPPBB ,  ,  , 81029155533|pemby toko damai     2026011 o damai     2026011 MCM InhouseTrf CS-CS  KE SONI KIRAWAN ,,  5.835.200 ,,81029155533|pemby toko damai     2026011 o damai     2026011 MCM InhouseTrf CS-CS  KE SONI KIRAWAN,5.835.200,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.022.I.2026 I.2026 MCM InhouseTrf CS-CS  KE CHOIRUN NISA ,,  3.001.000 ,,81029155529|B.01.022.I.2026 I.2026 MCM InhouseTrf CS-CS  KE CHOIRUN NISA,3.001.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.023.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE CHOIRUN NISA ,,  9.278.000 ,,81029155529|B.01.023.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE CHOIRUN NISA,9.278.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.034.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE CHOIRUN NISA ,,  275.000 ,,81029155529|B.01.034.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE CHOIRUN NISA,275.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.033.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI ,,  1.500.000 ,,81029155529|B.01.033.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI,1.500.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.031.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI ,,  2.174.970 ,,81029155529|B.01.031.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI,2.174.970,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.032.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI ,,  3.200.000 ,,81029155529|B.01.032.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI,3.200.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.026.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI ,,  550.000 ,,81029155529|B.01.026.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI,550.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.030.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI ,,  3.050.000 ,,81029155529|B.01.030.I.2026      B.01.03 I.2026      B.01.03 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI,3.050.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.029.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI ,,  800.000 ,,81029155529|B.01.029.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI,800.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.028.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI ,,  3.100.000 ,,81029155529|B.01.028.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI,3.100.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155529 - UGKT ,  ,  , 81029155529|B.01.027.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI ,,  890.000 ,,81029155529|B.01.027.I.2026      B.01.02 I.2026      B.01.02 MCM InhouseTrf CS-CS  KE RINA SUKMAWATI,890.000,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|UBP60213030502FFFFFF22140022 MCM CASA UBP Pym 1L ,,  720.601 ,,81029155510|UBP60213030502FFFFFF22140022 MCM CASA UBP Pym 1L,  720.601 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|UBP60213030502FFFFFF22140022 MCM CASA UBP Pym 1L ,,  3.500 ,,81029155510|UBP60213030502FFFFFF22140022 MCM CASA UBP Pym 1L,  3.500 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|UBP60214003502FFFFFF01622114 MCM CASA UBP Pym 1L ,,  1.164.390 ,,81029155510|UBP60214003502FFFFFF01622114 MCM CASA UBP Pym 1L,  1.164.390 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|UBP60214003502FFFFFF01622114 MCM CASA UBP Pym 1L ,,  3.000 ,,81029155510|UBP60214003502FFFFFF01622114 MCM CASA UBP Pym 1L,  3.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|UBP60213030502FFFFFF22140073 MCM CASA UBP Pym 1L ,,  47.378.291 ,,81029155510|UBP60213030502FFFFFF22140073 MCM CASA UBP Pym 1L,  47.378.291 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|UBP60213030502FFFFFF22140073 MCM CASA UBP Pym 1L ,,  3.500 ,,81029155510|UBP60213030502FFFFFF22140073 MCM CASA UBP Pym 1L,  3.500 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|Pemby.Retribusi ribusi Transfer Online CS  296231 0070003000038PERKEBUNAN NUSANTARA ,,  990.000 ,,81029155510|Pemby.Retribusi ribusi Transfer Online CS  296231 0070003000038PERKEBUNAN NUSANTARA,  990.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|Transfer Fee         2026011 Fee         2026011 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155510|Transfer Fee         2026011 Fee         2026011 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155510 - PALAI ,  ,  , 81029155510|Pemby Konsumsi       B.01 sumsi       B.01 MCM InhouseTrf CS-CS  KE AGUS RAMADHAN ,,  300.000 ,,81029155510|Pemby Konsumsi       B.01 sumsi       B.01 MCM InhouseTrf CS-CS  KE AGUS RAMADHAN,  300.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155525 - RIMBA ,  ,  , 81029155525| MCM InhouseTrf CS-CS  KE PANGERAN RUDOLF ANGGIAT BINSAR PASARI ,,  300.000 ,,81029155525| MCM InhouseTrf CS-CS  KE PANGERAN RUDOLF ANGGIAT BINSAR PASARI,  300.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155525 - RIMBA ,  ,  , 81029155525| MCM InhouseTrf CS-CS  KE RIFKI GUNAWAN ,,  800.000 ,,81029155525| MCM InhouseTrf CS-CS  KE RIFKI GUNAWAN,  800.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155525 - RIMBA ,  ,  , 81029155525| MCM InhouseTrf CS-CS  KE ARIF FITROH ,,  295.000 ,,81029155525| MCM InhouseTrf CS-CS  KE ARIF FITROH,  295.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155525 - RIMBA ,  ,  , 81029155525| MCM InhouseTrf CS-CS  KE BADRIYAH ,,  1.000.000 ,,81029155525| MCM InhouseTrf CS-CS  KE BADRIYAH,  1.000.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155525 - RIMBA ,  ,  , 81029155525| Transfer Online P-CS  484001027719533/OI36000896676831PERKEBUNAN NUSANTARA ,,  952.000 ,,81029155525| Transfer Online P-CS  484001027719533/OI36000896676831PERKEBUNAN NUSANTARA,  952.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155525 - RIMBA ,  ,  , 81029155525| Transfer Online P-CS  347501025410531/OI36000896677731PERKEBUNAN NUSANTARA ,,  400.000 ,,81029155525| Transfer Online P-CS  347501025410531/OI36000896677731PERKEBUNAN NUSANTARA,  400.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155525 - RIMBA ,  ,  , 81029155525| Transfer Online P-CS  347501025410531/OI36000896679061PERKEBUNAN NUSANTARA ,,  1.000.000 ,,81029155525| Transfer Online P-CS  347501025410531/OI36000896679061PERKEBUNAN NUSANTARA,  1.000.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155517 - PAKEM ,  ,  , 81029155517|pembayaran wifi n wifi MCM InhouseTrf CS-CS  KE DAVID VIRGILIUS ,,  958.000 ,,81029155517|pembayaran wifi n wifi MCM InhouseTrf CS-CS  KE DAVID VIRGILIUS,  958.000 ,  - ,  
,13/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155530 - UGKST ,  ,  , 81029155530|Bi Linsek            B/19/I/             B/19/I/ MCM InhouseTrf CS-CS  KE DIAN FIRDAUS ,,  8.500.000 ,,81029155530|Bi Linsek            B/19/I/             B/19/I/ MCM InhouseTrf CS-CS  KE DIAN FIRDAUS,  8.500.000 ,  - ,  
0146_2026,14/01/2026,139, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, MPN (Modul Penerimaan Negara) , Pembayaran PPh Pasal 22 Regional Office PTPN IV Regional V Masa Desember 2025 NPWP 01.061.129.1.051.000 ,,  235.479.915 ,,,,  235.479.915 , Pembayaran PPh Pasal 22 Regional Office PTPN IV Regional V Masa Desember 2025 NPWP 01.061.129.1.051.000 
0144_2026,14/01/2026,140, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, MPN (Modul Penerimaan Negara) , Pembayaran PPh Pasal 23 Regional Office PTPN IV Regional V Masa Desember 2025 NPWP 01.061.129.1.051.000 ,,  848.749.629 ,,,,  848.749.629 , Pembayaran PPh Pasal 23 Regional Office PTPN IV Regional V Masa Desember 2025 NPWP 01.061.129.1.051.000 
0145_2026,14/01/2026,141, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, MPN (Modul Penerimaan Negara) , Pembayaran atas Pasal 4 ayat 2 Regional Office PTPN IV Regional V Masa Desember 2025 NPWP No. 01.061.129.1.051.000 ,,  493.612.203 ,,,,  493.612.203 , Pembayaran atas Pasal 4 ayat 2 Regional Office PTPN IV Regional V Masa Desember 2025 NPWP No. 01.061.129.1.051.000 
0173_2026,14/01/2026,142, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Modul Penerimaan Negara (MPN) ," Pembayaran Denda Penagihan sesuai Surat Tagihan Pajak (STP) yaitu sebagai berikut STP No. 00005/110/17/051/CT/25 Denda Adm PPN Masa November 2017 1.913.544.251, STP No. 0001/119/17/051/CT/25, Denda PPN Masa Juli 2017 Rp. 867.740.974,- dan STP No. 0004/110/17/051/CT/25 Denda Masa Januari 2017 Rp.1.267.049.212,- ",,  4.048.334.437 ,,,,  4.048.334.437 ," Pembayaran Denda Penagihan sesuai Surat Tagihan Pajak (STP) yaitu sebagai berikut STP No. 00005/110/17/051/CT/25 Denda Adm PPN Masa November 2017 1.913.544.251, STP No. 0001/119/17/051/CT/25, Denda PPN Masa Juli 2017 Rp. 867.740.974,- dan STP No. 0004/110/17/051/CT/25 Denda Masa Januari 2017 Rp.1.267.049.212,- "
0178_2026,14/01/2026,143, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Gunung Meliau , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 12 Januari 2026 ,,  908.196.218 ,,,,  908.196.218 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 12 Januari 2026 
0179_2026,14/01/2026,144, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Rimba Belian , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Rimba Belian periode tgl. 12 Januari 2026 ,,  501.315.569 ,,,,  501.315.569 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Rimba Belian periode tgl. 12 Januari 2026 
0180_2026,14/01/2026,145, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Parindu , Permintaan pembayaran Pembelian TBS di PKS Parindu periode tgl. 12 Januari 2026 ,,  624.201.584 ,,,,  624.201.584 , Permintaan pembayaran Pembelian TBS di PKS Parindu periode tgl. 12 Januari 2026 
0181_2026,14/01/2026,146, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Ngabang , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 12 Januari 2026 ,,  295.057.008 ,,,,  295.057.008 , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 12 Januari 2026 
0182_2026,14/01/2026,147, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Kembayan , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Kembayan periode tgl. 12 Januari 2026 ,,  715.323.209 ,,,,  715.323.209 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Kembayan periode tgl. 12 Januari 2026 
0183_2026,14/01/2026,148, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok di PKS Long Pinang , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 12Januari 2026 ,,  286.077.414 ,,,,  286.077.414 , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 12Januari 2026 
0184_2026,14/01/2026,149, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Pelaihari , Permintaan pembayaran TBS Pemasok di PKS Pelaihari periode tgl. 12 Januari 2026 ,,  46.549.534 ,,,,  46.549.534 , Permintaan pembayaran TBS Pemasok di PKS Pelaihari periode tgl. 12 Januari 2026 
10033_2025,14/01/2026,150, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,, 50. PEMEL TM , PT Mitra Power Perkasa ," Permintaan pembayaran Pekerjaan Tanaman Menghasilkan (TM) seluas 4.988,96 Ha Afdeling I-VII Kebun Sungai Dekan bulan Oktober 2025 sesuai SPK No. 5TAN/SPJ/122/5KSD/IX/2025 tgl. 11 September 2025 ",,  369.247.156 ,,,,  369.247.156 ," Permintaan pembayaran Pekerjaan Tanaman Menghasilkan (TM) seluas 4.988,96 Ha Afdeling I-VII Kebun Sungai Dekan bulan Oktober 2025 sesuai SPK No. 5TAN/SPJ/122/5KSD/IX/2025 tgl. 11 September 2025 "
9409_2025,14/01/2026,151, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,, 50. PEMEL TM , CV Kharisma Jaya ," Permintaan pembayaran Pekerjaan Pemeliharaan TM Afdeling III Babat Gawangan Berat Kebun Pamukan bulan Oktober 2025 sesuai Surat Perjanjian No. 01/CV,KJ-5KPM/VII/2025 tgl. 21 Juli 2025 ",,  13.784.630 ,,,  13.784.630 ,  13.784.631 ," Permintaan pembayaran Pekerjaan Pemeliharaan TM Afdeling III Babat Gawangan Berat Kebun Pamukan bulan Oktober 2025 sesuai Surat Perjanjian No. 01/CV,KJ-5KPM/VII/2025 tgl. 21 Juli 2025 "
10105_2025,14/01/2026,152, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, PT Lin Citra Wahana , Permintaan pembayaran Pekerjaan Angkutan Batu dari Quary Pandawa ke Afdeling IV Areal Tanaman Menghasilkan (TM) Kebun Tajati bulan Nopember 2025 (Turn Around) sesuai SPK No. 5TAN/SPJ/182/5KTJ/XI/2025 tgl. 6 Nopember 2025 ,,  375.799.300 ,,,,  375.799.300 , Permintaan pembayaran Pekerjaan Angkutan Batu dari Quary Pandawa ke Afdeling IV Areal Tanaman Menghasilkan (TM) Kebun Tajati bulan Nopember 2025 (Turn Around) sesuai SPK No. 5TAN/SPJ/182/5KTJ/XI/2025 tgl. 6 Nopember 2025 
10058_2025,14/01/2026,153, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, CV Rejeki Teko Mulyo , Permintaan pembayaran atas Pekerjaan Sewa Excabreaker untuk Memecah Batu ukuran kurang lebih 10/10 Afdeling I s.d. VI Kebun Longkali bulan Desember 2025 (Turn Around) sesuai Surat Perjanjian No. 5TAN/SPJ/235/5KLK/XII/2025 tgl. 2 Desember 2025 ,,  306.437.150 ,,,  306.437.150 ,  307.139.988 , Permintaan pembayaran atas Pekerjaan Sewa Excabreaker untuk Memecah Batu ukuran kurang lebih 10/10 Afdeling I s.d. VI Kebun Longkali bulan Desember 2025 (Turn Around) sesuai Surat Perjanjian No. 5TAN/SPJ/235/5KLK/XII/2025 tgl. 2 Desember 2025 
10098_2025,14/01/2026,154, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, CV Rejeki Teko Mulyo , Permintaan pembayaran Pekerjaan Menyisip Inclusive Angkutan dan Membuat Titi Panen Kebun Longkali bulan Nopember 2025 sesuai Surat Perjanjian No. 5KLK/5TAN/22/11/IV/2025 tgl. 1 Nopember 2025 ,,  4.915.900 ,,,,  4.915.900 , Permintaan pembayaran Pekerjaan Menyisip Inclusive Angkutan dan Membuat Titi Panen Kebun Longkali bulan Nopember 2025 sesuai Surat Perjanjian No. 5KLK/5TAN/22/11/IV/2025 tgl. 1 Nopember 2025 
