No Agenda,Tanggal,No. Bukti,Sumber Dana,Bank Tujuan,Kriteria CF,Penerima/dari,Uraian,Debet,Kredit,@,Edit Uraian,Revisi Nominal,Nilai Ajuan,Uraian Asli
0108_2026,08/01/2026,114, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Parindu , Permintaan pembayaran Pembelian TBS di PKS Parindu periode tgl. 7 Januari 2026 ,,  877.766.083 ,,,,  877.766.083 , Permintaan pembayaran Pembelian TBS di PKS Parindu periode tgl. 7 Januari 2026 
0109_2026,08/01/2026,115, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Ngabang , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 7 Januari 2026 ,,  380.868.441 ,,,,  380.868.441 , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 7 Januari 2026 
0110_2026,08/01/2026,116, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Kembayan , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Kembayan periode tgl. 7 Januari 2026 ,,  537.600.129 ,,,,  537.600.129 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Kembayan periode tgl. 7 Januari 2026 
0111_2026,08/01/2026,117, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok di PKS Long Pinang , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 7 Januari 2026 ,,  417.350.010 ,,,,  417.350.010 , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 7 Januari 2026 
0112_2026,08/01/2026,118, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Pemasok TBS di PKS Pelaihari , Permintaan pembayaran TBS Pemasok di PKS Pelaihari periode tgl. 7 Januari 2026 ,,  129.170.664 ,,,,  129.170.664 , Permintaan pembayaran TBS Pemasok di PKS Pelaihari periode tgl. 7 Januari 2026 
0114_2026,08/01/2026,119, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,, Kemitraan Areal Kalbar , Permintaan pembayaran Pembelian Estimasi Biaya TBS Jembatan Timbang Gunung Emas tgl. 8-12 Januari 2026 ,,  680.000.000 ,,,,  680.000.000 , Permintaan pembayaran Pembelian Estimasi Biaya TBS Jembatan Timbang Gunung Emas tgl. 8-12 Januari 2026 
,08/01/2026,, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,,  ,  , Biaya Administrasi MCM ,,  66.700 ,,Biaya Administrasi MCM,  66.700 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|202601081355697996   2026010 355697996   2026010 MCM InhouseTrf CS-CS  KE GNC ,,  2.245.000 ,,81029155508|202601081355697996   2026010 355697996   2026010 MCM InhouseTrf CS-CS  KE GNC,  2.245.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Sewa Tanah Mesin Pom08012026 Transfer Online P-CS  012601049638505/OI36000890962511PERKEBUNAN NUSANTARA ,,  900.000 ,,81029155508|Sewa Tanah Mesin Pom08012026 Transfer Online P-CS  012601049638505/OI36000890962511PERKEBUNAN NUSANTARA,  900.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|BI Sewa Mobil        0801202 obil        0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  3.800.000 ,,81029155508|BI Sewa Mobil        0801202 obil        0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA,  3.800.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Pemb ATK n kirim dok 0801202 n kirim dok 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  2.762.000 ,,81029155508|Pemb ATK n kirim dok 0801202 n kirim dok 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA,  2.762.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Bi Konsumsi Kantor   0801202 si Kantor   0801202 MCM InhouseTrf CS-CS  KE NANIN YUNI ANDANSARI ,,  9.684.000 ,,81029155508|Bi Konsumsi Kantor   0801202 si Kantor   0801202 MCM InhouseTrf CS-CS  KE NANIN YUNI ANDANSARI,  9.684.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Tagihan Mes Des 2025 0801202 es Des 2025 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  33.020.000 ,,81029155508|Tagihan Mes Des 2025 0801202 es Des 2025 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA,  33.020.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Penggantian SPPD Jai 0801202 an SPPD Jai 0801202 MCM InhouseTrf CS-CS  KE NANIN YUNI ANDANSARI ,,  1.212.000 ,,81029155508|Penggantian SPPD Jai 0801202 an SPPD Jai 0801202 MCM InhouseTrf CS-CS  KE NANIN YUNI ANDANSARI,  1.212.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|BBM Mesin Rumput Des 0801202  Rumput Des 0801202 MCM InhouseTrf CS-CS  KE SUKARI ,,  1.590.000 ,,81029155508|BBM Mesin Rumput Des 0801202  Rumput Des 0801202 MCM InhouseTrf CS-CS  KE SUKARI,  1.590.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|BI Beli mesin rumput 0801202 esin rumput 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  4.180.000 ,,81029155508|BI Beli mesin rumput 0801202 esin rumput 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA,  4.180.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Kuota Internet Des25 0801202 ernet Des25 0801202 MCM InhouseTrf CS-CS  KE NANIN YUNI ANDANSARI ,,  1.000.000 ,,81029155508|Kuota Internet Des25 0801202 ernet Des25 0801202 MCM InhouseTrf CS-CS  KE NANIN YUNI ANDANSARI,  1.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Bi Prposal Rehab TPA 0801202 l Rehab TPA 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  4.032.000 ,,81029155508|Bi Prposal Rehab TPA 0801202 l Rehab TPA 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA,  4.032.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Uang Makan PN0 Natal 0801202 n PN0 Natal 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  6.925.000 ,, 81029155508|Uang Makan PN0 Natal 0801202 n PN0 Natal 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,  6.925.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Perlengkapan Magang  0801202 pan Magang  0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  1.435.000 ,, 81029155508|Perlengkapan Magang  0801202 pan Magang  0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,  1.435.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Bi Perbaikan Exavato 0801202 kan Exavato 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  2.300.000 ,,81029155508|Bi Perbaikan Exavato 0801202 kan Exavato 0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA,  2.300.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155508 - TABARA ,  ,  , 81029155508|Sumb Proposal lain2  0801202 osal lain2  0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA ,,  5.000.000 ,,81029155508|Sumb Proposal lain2  0801202 osal lain2  0801202 MCM InhouseTrf CS-CS  KE HAMAT SARIF BATU BARA,  5.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Bensin n Bensin Transfer Online CS  261216 8225870313PERKEBUNAN NUSANTARA ,,  3.000.000 ,,81029155507|Pembayaran Bensin n Bensin Transfer Online CS  261216 8225870313PERKEBUNAN NUSANTARA,  3.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Pipa n Pipa MCM InhouseTrf CS-CS  KE AHMAD FIRDAUS ,,  1.800.000 ,,81029155507|Pembayaran Pipa n Pipa MCM InhouseTrf CS-CS  KE AHMAD FIRDAUS,  1.800.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pmby. Kebutuhan Mess utuhan Mess Transfer Online CS  261218 8225870313PERKEBUNAN NUSANTARA ,,  300.000 ,,81029155507|Pmby. Kebutuhan Mess utuhan Mess Transfer Online CS  261218 8225870313PERKEBUNAN NUSANTARA,  300.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Banner n Banner MCM InhouseTrf CS-CS  KE AHMAD FIRDAUS ,,  1.331.290 ,,81029155507|Pembayaran Banner n Banner MCM InhouseTrf CS-CS  KE AHMAD FIRDAUS,  1.331.290 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Pelatihan n Pelatihan Transfer Online CS  261117 289450336PERKEBUNAN NUSANTARA ,,  1.690.000 ,,81029155507|Pembayaran Pelatihan n Pelatihan Transfer Online CS  261117 289450336PERKEBUNAN NUSANTARA,  1.690.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Kopi Tamu n Kopi Tamu Transfer Online CS  261119 8225870313PERKEBUNAN NUSANTARA ,,  1.711.000 ,,81029155507|Pembayaran Kopi Tamu n Kopi Tamu Transfer Online CS  261119 8225870313PERKEBUNAN NUSANTARA,  1.711.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Service n Service Transfer Online CS  261121 8225870313PERKEBUNAN NUSANTARA ,,  200.000 ,,81029155507|Pembayaran Service n Service Transfer Online CS  261121 8225870313PERKEBUNAN NUSANTARA,  200.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Bensin n Bensin Transfer Online CS  261123 8225870313PERKEBUNAN NUSANTARA ,,  3.000.000 ,,81029155507|Pembayaran Bensin n Bensin Transfer Online CS  261123 8225870313PERKEBUNAN NUSANTARA,  3.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran TIKI Transfer Online P-CS  024901008448503/OI36000891030011PERKEBUNAN NUSANTARA ,,  983.000 ,,81029155507|Pembayaran TIKI Transfer Online P-CS  024901008448503/OI36000891030011PERKEBUNAN NUSANTARA,  983.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Transfer Online P-CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Transfer Online P-CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Nota Mess n Nota Mess Transfer Online CS  261125 8225870313PERKEBUNAN NUSANTARA ,,  360.000 ,,81029155507|Pembayaran Nota Mess n Nota Mess Transfer Online CS  261125 8225870313PERKEBUNAN NUSANTARA,  360.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Warung n Warung Transfer Online CS  261127 8225870313PERKEBUNAN NUSANTARA ,,  387.122 ,,81029155507|Pembayaran Warung n Warung Transfer Online CS  261127 8225870313PERKEBUNAN NUSANTARA,  387.122 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Paket SAP Transfer Online P-CS  800001005450537/OI36000891030361PERKEBUNAN NUSANTARA ,,  2.000.000 ,,81029155507|Pembayaran Paket SAP Transfer Online P-CS  800001005450537/OI36000891030361PERKEBUNAN NUSANTARA,  2.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Transfer Online P-CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Transfer Online P-CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Angsuran Transfer Online P-CS  021401007114534/OI36000891030301PERKEBUNAN NUSANTARA ,,  1.500.000 ,,81029155507|Pembayaran Angsuran Transfer Online P-CS  021401007114534/OI36000891030301PERKEBUNAN NUSANTARA,  1.500.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Transfer Online P-CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Transfer Online P-CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Konsumsi n Konsumsi Transfer Online CS  261129 8225870313PERKEBUNAN NUSANTARA ,,  3.000.000 ,,81029155507|Pembayaran Konsumsi n Konsumsi Transfer Online CS  261129 8225870313PERKEBUNAN NUSANTARA,  3.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Nota Mess n Nota Mess Transfer Online CS  261220 8225870313PERKEBUNAN NUSANTARA ,,  1.626.000 ,,81029155507|Pembayaran Nota Mess n Nota Mess Transfer Online CS  261220 8225870313PERKEBUNAN NUSANTARA,  1.626.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507| Transfer Online CS  261133 1338499598PERKEBUNAN NUSANTARA ,,  29.266.748 ,,81029155507| Transfer Online CS  261133 1338499598PERKEBUNAN NUSANTARA,  29.266.748 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pmby. Pemasangan Ban asangan Ban Transfer Online CS  261135 8225870313PERKEBUNAN NUSANTARA ,,  200.000 ,,81029155507|Pmby. Pemasangan Ban asangan Ban Transfer Online CS  261135 8225870313PERKEBUNAN NUSANTARA,  200.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran ATK n ATK Transfer Online CS  261137 8225870313PERKEBUNAN NUSANTARA ,,  3.000.000 ,,81029155507|Pembayaran ATK n ATK Transfer Online CS  261137 8225870313PERKEBUNAN NUSANTARA,  3.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Sewa n Sewa Transfer Online CS  261139 8225870313PERKEBUNAN NUSANTARA ,,  2.500.000 ,,81029155507|Pembayaran Sewa n Sewa Transfer Online CS  261139 8225870313PERKEBUNAN NUSANTARA,  2.500.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran TIKI Transfer Online P-CS  024901008448503/OI36000891030931PERKEBUNAN NUSANTARA ,,  770.000 ,,81029155507|Pembayaran TIKI Transfer Online P-CS  024901008448503/OI36000891030931PERKEBUNAN NUSANTARA,  770.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Transfer Online P-CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Transfer Online P-CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Pelatihan n Pelatihan Transfer Online CS  261222 8225870313PERKEBUNAN NUSANTARA ,,  3.000.000 ,,81029155507|Pembayaran Pelatihan n Pelatihan Transfer Online CS  261222 8225870313PERKEBUNAN NUSANTARA,  3.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Nota SPI n Nota SPI Transfer Online CS  261141 8225870313PERKEBUNAN NUSANTARA ,,  974.000 ,,81029155507|Pembayaran Nota SPI n Nota SPI Transfer Online CS  261141 8225870313PERKEBUNAN NUSANTARA,  974.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Konsumsi n Konsumsi Transfer Online CS  261143 8225870313PERKEBUNAN NUSANTARA ,,  200.000 ,,81029155507|Pembayaran Konsumsi n Konsumsi Transfer Online CS  261143 8225870313PERKEBUNAN NUSANTARA,  200.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Toples n Toples Transfer Online CS  261145 8225870313PERKEBUNAN NUSANTARA ,,  80.000 ,,81029155507|Pembayaran Toples n Toples Transfer Online CS  261145 8225870313PERKEBUNAN NUSANTARA,  80.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Jembatan n Jembatan Transfer Online CS  261147 8225870313PERKEBUNAN NUSANTARA ,,  4.000.000 ,,81029155507|Pembayaran Jembatan n Jembatan Transfer Online CS  261147 8225870313PERKEBUNAN NUSANTARA,  4.000.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Pembayaran Konsumsi n Konsumsi Transfer Online CS  261149 8225870313PERKEBUNAN NUSANTARA ,,  350.000 ,,81029155507|Pembayaran Konsumsi n Konsumsi Transfer Online CS  261149 8225870313PERKEBUNAN NUSANTARA,  350.000 ,  - ,  
,08/01/2026,, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 , 81029155507 - TAJATI ,  ,  , 81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA ,,  6.500 ,,81029155507|Transfer Fee         2026010 Fee         2026010 Transfer Online CS  PERKEBUNAN NUSANTARA,  6.500 ,  - ,  
